puesto_estandarizado,nombre_empresa,ubicacion,modalidad,salario
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,ACCI CARGO SAC,,,
Ejecutivo Ventas Software,Manpower,,,"S/. 1.129,00 (Mensual)"
Ejecutivo Ventas Software,Los Portales,,,
Ejecutivo Ventas Software,Los Portales,,,
Ejecutivo Ventas Software,Los Portales,,,
Ejecutivo Ventas Software,MAYA,,,
Ejecutivo Ventas Software,TRUST CONSULTING,,,
Ejecutivo Ventas Software,Adecco Perú S.A.,,,"S/. 1.000,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Maderera Invicta S.R.L.,,,"S/. 1.300,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Fitflow Peru SRL,,,
Ejecutivo Ventas Software,NEO GRAFI,,,
Ejecutivo Ventas Software,Nicoll Perú S.A,,,
Ejecutivo Ventas Software,CREATALENTO,,Presencial y remoto,
Ejecutivo Ventas Software,MENA PEZO MARIAN JHOANY,,,
Ejecutivo Ventas Software,,,,"S/. 1.800,00 (Mensual)"
Ejecutivo Ventas Software,Financiera QAPAQ,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Financiera QAPAQ,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,
Ejecutivo Ventas Software,Vuelos y experiencias,,,
Ejecutivo Ventas Software,,,,
Ejecutivo Ventas Software,TREEP,,,
Ejecutivo Ventas Software,YT GROUP,,Presencial y remoto,"S/. 1.200,00 (Mensual)"
Ejecutivo Ventas Software,YT GROUP,,,"S/. 1.200,00 (Mensual)"
Ejecutivo Ventas Software,Inti Raymi S.A.,,,"S/. 1.800,00 (Mensual)"
Ejecutivo Ventas Software,MOTORLINK S.A.C.,,,"S/. 1.500,00 (Mensual)"
Ejecutivo Ventas Software,MOTORLINK S.A.C.,,,
Ejecutivo Ventas Software,MOTORLINK S.A.C.,,,
Ejecutivo Ventas Software,,,,
Ejecutivo Ventas Software,Grupo Intercorp,,,"S/. 1.025,00 (Mensual)"
Ejecutivo Ventas Software,Grupo Intercorp,,,
Ejecutivo Ventas Software,EXPERTISE PERÚ,,,
Ejecutivo Ventas Software,Hagroy Electronic,,,"S/. 1.800,00 (Mensual) + Comisiones"
Ejecutivo Ventas Software,IDEAS APLICADAS SA,,,
Ejecutivo Ventas Software,Caja Maynas,,,
Ejecutivo Ventas Software,ZAVALETA MORON BRAYAN MILKO,,,
