puesto_estandarizado,nombre_empresa,ubicacion,modalidad,salario
Especialista Técnico People,CONSULTING PERU CO. S.A.C.,,,
Especialista Técnico People,ACOSAC,,,
Especialista Técnico People,SENATI,,,
Especialista Técnico People,Grupo Educa_d,,Presencial y remoto,
Especialista Técnico People,ODONTO EQUIPOS PERÚ,,,3000.0
Especialista Técnico People,CONSORCIO SANTA ANA,,,
Especialista Técnico People,inmobiliaria Alpamayo,,,
Especialista Técnico People,Bigmond Group,,,
Especialista Técnico People,Topstrategic  S.A.C.,,Presencial y remoto,
Especialista Técnico People,GHS PERU,,,
Especialista Técnico People,CONSULTING PERU CO. S.A.C.,,,
Especialista Técnico People,Grupo Educa_d,,Presencial y remoto,
Especialista Técnico People,OCA GLOBAL PERÚ,,,
Especialista Técnico People,POWER HOUSE DIGITAL STUDIO,,Presencial y remoto,
Especialista Técnico People,RESEMIN,,,
Especialista Técnico People,CONSULTING PERU CO. S.A.C.,,,
Especialista Técnico People,DIMAJO E.I.R.L.,,,
Especialista Técnico People,Grupo OIS,,,
Especialista Técnico People,G-PRO S.A.C,,,
Especialista Técnico People,CODE SYSTEMS,,,
Especialista Técnico People,Grupo Educa_d,,,
Especialista Técnico People,KOMATSU - MITSUI MAQUINARIAS,,,
Especialista Técnico People,Topstrategic  S.A.C.,,Presencial y remoto,
Especialista Técnico People,AGENCIA DOPAMINA S.A.C.,,Presencial y remoto,
Especialista Técnico People,JLV CONSULTORES,,Presencial y remoto,
Especialista Técnico People,POWER HOUSE DIGITAL STUDIO,,Presencial y remoto,
Especialista Técnico People,SILSA,,,
Especialista Técnico People,Lab Side,,Presencial y remoto,
Especialista Técnico People,GHS PERU,,,
Especialista Técnico People,Topstrategic  S.A.C.,,Presencial y remoto,
Especialista Técnico People,Grupo Educa_d,,Presencial y remoto,
Especialista Técnico People,CONSORCIO SANTA ANA,,,
Especialista Técnico People,SENATI,,,
Especialista Técnico People,Compartamos Banco,,,
Especialista Técnico People,MURGISASRL,,,3500.0
Especialista Técnico People,ToolRides,,,
Especialista Técnico People,Grupo Intercorp,,,
Especialista Técnico People,PROMAX SAFETY,,,
Especialista Técnico People,Grupo OIS,,,
Especialista Técnico People,Grupo Educa_d,,Presencial y remoto,
Especialista Técnico People,Grupo Educa_d,,Presencial y remoto,
Especialista Técnico People,OZONE CONSULTING,,,
Especialista Técnico People,Manpower,,,
Especialista Técnico People,MULTIDENT MONTERRICO,,,
Especialista Técnico People,SYM SERVICIOS INTEGRALES PERU S.A.C.,,,
Especialista Técnico People,,,,
Especialista Técnico People,Grupo Educa_d,,Presencial y remoto,
Especialista Técnico People,Semco S.A.,,Presencial y remoto,
Especialista Técnico People,SENATI,,,
Especialista Técnico People,ToolRides,,,
Especialista Técnico People,Constructora Marilia S.A.C.,,,2000.0
Especialista Técnico People,GHS PERU,,,
Especialista Técnico People,POWER HOUSE DIGITAL STUDIO,,Presencial y remoto,
Especialista Técnico People,CODE SYSTEMS,,,
Especialista Técnico People,Grupo Educa_d,,Presencial y remoto,
Especialista Técnico People,Ingenium,,,
Especialista Técnico People,SMISAC,,,
Especialista Técnico People,,,,3000.0
Especialista Técnico People,Topstrategic  S.A.C.,,Presencial y remoto,
Especialista Técnico People,Topstrategic  S.A.C.,,Presencial y remoto,
Especialista Técnico People,Compartamos Banco,,,
Asesor Negocios Banco,Manpower,,,
Asesor Negocios Banco,Sef Peru Holding SAC,,,
